STR,CUI
cardiopulmonary exercise testing,C2959886
exercise testing cardiopulmonary,C2959886
testing cardiopulmonary exercise,C2959886
exercise test cardiopulmonary,C2959886
test cardiopulmonary exercise,C2959886
cardiopulmonary exercise test procedure,C2959886
target lesion,C2986546
myocardial infarction,C3810814
ventricular arrhythmias,C3812282
vtarry,C3812282
ischemia,C4321499
pacemaker,C3853703
pacemakr,C3853703
hemodynamics,C4281788
hemodynamic,C4281788
therapeutic ischemia,C4321499
angiotensin i,C4521302
angiotensin,C4521302
angiotensin 1,C4521302
ang i,C4521302
angiotensin 1 10,C4521302
2 n butyl 3 5 diiodo 4 n diethylaminoethoxy 3 benzoylbenzofuran,C0002598
reductions,C4551656
reduction plasty,C4551656
reduction plasty qualifier value,C4551656
beta adrenergic antagonist,C4723804
beta adrenergic blocking agent therapy,C4723804
beta blocker therapy,C4723804
beta adrenergic inhibitor therapy,C4723804
renin,C5441729
angiotensin forming enzyme,C5441729
angiotensinogenase,C5441729
renin precursor renal,C5441729
ec 3 4 23 15,C5441729
beta adrenergic blocking agent nos,C0001645
beta adrenergic receptor antagonist containing product,C0001645
substance with beta adrenergic receptor antagonist mechanism of action,C0001645
beta blocking agent nos,C0001645
beta adrenoceptor blocking drug,C0001645
ace inhibitor nos,C0003015
substance with angiotensin converting enzyme inhibitor mechanism of action,C0003015
angiotensin converting enzyme inhibitor containing product,C0003015
angiotensin converting enzyme inhibitor agent nos,C0003015
cardiac revascularization with aortocoronary bypass anastomosis,C0010055
total catecholamines,C0007412
catecholamine nos,C0007412
cab graft,C0010055
cardiac revascularization with bypass anastomosis nos,C0010055
aortocoronary bypass for heart revascularization not otherwise specified,C0010055
aortocoronary bypass for heart revascularization nos,C0010055
cardiac revascularisation with aortocoronary bypass anastomosis,C0010055
aorto coronary artery bypass graft,C0010055
acb graft,C0010055
low salt diet nos,C0012169
sodium restricted diet nos,C0012169
digoxin chemical,C0012265
digoxin product,C0012265
pressure,C0033095
diuretic nos,C0012798
echocardiographic procedures,C0013516
echocardiographic procedure nos,C0013516
ultrasonic cardiography,C0013516
echocardiography nos,C0013516
ultrasonography of heart nos,C0013516
insertion of catheter into heart chamber nos,C0018795
cardiac catheterization procedure nos,C0018795
operation on heart nos,C0018821
cardiac surgery procedure nos,C0018821
operative procedures on the heart,C0018821
heart procedure,C0018821
operative procedure on heart nos,C0018821
transplantation of heart nos,C0018823
mtolazone,C0025854
2 methyl 3 o tolyl 6 sulfamyl 7 chloro 1 2 3 4 tetrahydro 4 quinazolinone,C0025854
metolazene,C0025854
7 chloro 1 2 3 4 tetrahydro 2 methyl 4 oxo 3 o tolyl 6 quinazolinesulfonamide,C0025854
torasmide,C0076840
17 hydroxy 7alpha mercapto 3 oxo 17alpha pregn 4 ene 21 carboxylic acid gamma lactone acetate,C0037982
water product,C0043047
carvdilol,C0054836
substance with angiotensin ii receptor antagonist mechanism of action,C0521942
taking central venous pressure,C0199666
central venous pressure measurement,C0199666
ekg findings of infarction,C0428953
demand,C0441516
inotropic agent nos,C0304509
cardiac inotropic agent,C0304509
angiotensin ii receptor antagonist nos,C0521942
angiotensin ii receptor antagonist containing product,C0521942
unsuccess,C0680095
continuous ecg ventricular arrhythmias tachycardia,C2108113
9 11alpha epoxy 17 hydroxy 3 oxo 17alpha pregn 4 ene 7alpha 21 dicarboxylic acid gamma lactone methyl ester,C0961485
cardiopulmonary exercise testing including measurements of minute ventilation co2 production o2 uptake and electrocardiographic recordings,C2959886
angiotensin converting enzyme inhibitor agent,C0003015
reduction action,C4551656
,C5441729
beta adrenergic receptor inhibitor,C0001645
beta adrenoceptor blocking agent,C0001645
warf,C0043031
catecholamine class agent,C0007412
died,C0011065
pres,C0033095
cabg,C0010055
waters,C0043047
icds,C0162589
bumetanide roche brand,C0701009
loop diuretic product,C0354100
angiotensin 2 receptor blocker,C0521942
left ventricular function decreased,C0553982
impaired left ventricular func,C0553982
impaired left ventricular function,C0553982
glaxo wellcome brand of digoxin,C0699988
glaxosmithkline brand 1 of digoxin,C0699988
virco brand of digoxin,C0699988
drug screen qualitative digoxin,C0337449
electrocardiogram myocardial infarction,C0428953
roche brand of bumetanide,C0701009
glaxosmithkline brand of carvedilol,C0719509
pfizer brand of eplerenone,C1144054
